Gene;GDI;;;
CX3CR1;3,526449356;;;
PLEKHO1;3,523917221;;;
RPL13;3,523110221;;;
IFITM1;3,52140735;;;
RAB34;3,521335753;;;
RPL23A;3,521078538;;;
RPL19;3,519590504;;;
RPLP2;3,517279212;;;
MYL6;3,513852704;;;
SH3BGRL3;3,511987278;;;
TTC38;3,511741449;;;
AQP3;3,507285937;;;
ATP1B3;3,506854484;;;
CD151;3,505352629;;;
MXD3;3,504855497;;;
MIR4435-1HG;3,500216417;;;
MARCKS;3,498799179;;;
DUSP1;3,495230199;;;
RPL38;3,494900345;;;
RPL36A;3,494373691;;;
HAVCR2;3,494313974;;;
ANXA4;3,493787795;;;
RPL34;3,493369542;;;
DNASE1L3;3,491503055;;;
DRAP1;3,490024754;;;
ITGA2B;3,489562208;;;
BANK1;3,488963045;;;
RPS15;3,487367585;;;
VCAN;3,484367404;;;
ADRBK1;3,482205888;;;
LRP1;3,481068792;;;
EMP3;3,480419562;;;
FAM49A;3,478609359;;;
PSMB3;3,477995727;;;
CD2;3,477690147;;;
FOS;3,471397282;;;
RPS27;3,4711206;;;
IFITM2;3,468961825;;;
BLOC1S1;3,468488211;;;
TGFB1;3,467639903;;;
TLN1;3,465843199;;;
RPL35A;3,465357828;;;
ATP5J2;3,463276257;;;
RPL37;3,462877865;;;
HOTAIRM1;3,461015398;;;
RPS18;3,459897837;;;
NAAA;3,457838847;;;
CHST2;3,456934615;;;
CCL3;3,455792414;;;
RPS23;3,453587075;;;
ISG20;3,447339482;;;
RPL18A;3,444858266;;;
RGS10;3,443473362;;;
RPS4X;3,442716816;;;
RPL32;3,441977847;;;
MTPN;3,441343896;;;
EHBP1L1;3,44038071;;;
PSME2;3,440252081;;;
ARPC2;3,439929836;;;
C4orf48;3,439793233;;;
NAPRT1;3,438492033;;;
KLRC1;3,436725654;;;
TCF7;3,434597639;;;
ARPC3;3,432898811;;;
SIDT2;3,431023661;;;
ZNF593;3,42890764;;;
S100Z;3,426496994;;;
SAMHD1;3,423882188;;;
ARRB2;3,422384003;;;
KLF6;3,421939708;;;
RPL6;3,421126322;;;
TUBB1;3,41914296;;;
CXCR4;3,412368331;;;
IL2RB;3,411819733;;;
TAGLN;3,411440713;;;
SDPR;3,411032209;;;
RPS21;3,408628518;;;
CD83;3,407393511;;;
RPS12;3,406841756;;;
GDI2;3,406785293;;;
GIMAP5;3,404583575;;;
ZNF683;3,401852276;;;
JUND;3,401435385;;;
RPS19;3,397759421;;;
UBE2E2;3,396061492;;;
PTPN18;3,394935435;;;
RPL11;3,39361417;;;
TBX21;3,392518911;;;
DOK3;3,391811532;;;
CTNNA1;3,391789499;;;
RHOH;3,390565834;;;
NAP1L1;3,389295482;;;
COX5A;3,386832124;;;
RPL37A;3,386633927;;;
MIDN;3,385030789;;;
EIF4E2;3,384855883;;;
FCRLA;3,382886911;;;
BST2;3,380871532;;;
MYL9;3,379908856;;;
RPS16;3,379727633;;;
PLAC8;3,37776155;;;
CHST12;3,37676585;;;
SNRNP25;3,376197475;;;
PTGS1;3,373353304;;;
ZFP36L2;3,372748811;;;
ENTPD1;3,369509948;;;
TRAT1;3,367878563;;;
LTA4H;3,367875348;;;
RPL18;3,367083507;;;
GRINA;3,366648708;;;
RPL21;3,366537214;;;
PTGDS;3,365460695;;;
KLRG1;3,362384865;;;
LAMTOR1;3,362229412;;;
HNRNPA1;3,360887669;;;
